Player,Score,Kills,Assists,Caps,Returns
HydroXide,"7,705",43,28,0,2
NikeBeamz,"7,535",37,29,0,4
Pandora,"6,055",25,38,0,3
Convik/Silyn,"4,945",24,4,0,0
cym3,"4,870",18,34,0,0
Smokin,"2,665",11,7,0,1
Blitz,"1,880",2,3,1,1
Darkness93,"1,470",4,4,0,0
Ryan,"1,470",0,4,1,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Dugong,"6,360",22,25,0,9
Visis,"6,085",27,18,1,1
Rebeltrooper,"5,700",29,16,0,2
Nightstar,"5,375",20,25,0,2
wafleking,"4,675",23,13,0,1
sajent,"3,850",14,22,0,2
Clapmatic,"2,980",6,12,0,2
zsamot8,"2,660",10,15,0,0
LethalScout,"1,015",1,2,0,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Jive,"5,685",26,29,0,1
Mikea(x2),"5,315",23,15,2,0
SplitSecond,"5,100",25,23,0,1
Gnome,"4,815",16,17,0,7
Katar Xwokark,"4,480",23,18,0,0
loot,"3,945",17,26,0,0
Howsya,"3,200",11,11,0,1
_oahra,"3,175",8,11,2,0
NovA,"2,140",5,7,1,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Lord Buschguy,"7,090",31,22,2,0
Slyce,"5,465",30,17,0,0
Prizzo,"4,345",20,18,0,0
Hosh,"4,290",23,17,0,0
more_horchata,"3,900",16,6,0,2
kwago,"3,530",15,6,0,3
APC,"2,785",2,5,2,3
RednecK,"2,445",7,16,0,0
Nemesis,"2,210",7,5,0,2
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Mikesters,"4,935",24,14,1,1
nomlfir,"4,460",22,16,0,1
Wriggles,"4,085",16,14,1,1
Tritium Jones,"3,900",13,15,0,5
Nyan,"3,785",14,16,0,3
Kilshot,"2,425",6,10,0,0
bgkillas,"2,265",2,6,1,3
RoamenCota,"1,635",4,4,0,0
Shinen,960,1,4,0,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
IceWinds,"6,125",34,20,0,2
TribalChief,"6,050",35,20,0,1
pLaybox!,"4,795",23,18,0,0
tonyd169,"4,180",19,11,0,1
erInys,"4,085",12,21,1,0
Bag,"3,660",13,14,0,4
ColonelFatso,"3,175",8,15,1,2
Gigabyte,"2,875",12,10,0,0
emma,"1,330",3,7,0,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Shady,"5,700",20,16,1,7
Vorpal,"5,670",34,9,0,2
nato,"4,720",20,24,0,3
ContigencyPlan,"3,730",11,9,1,3
String,"3,335",14,10,0,0
anthing,"3,125",9,11,1,2
Annaberries,"2,960",14,10,0,0
DeadManWalking,"2,270",7,4,0,1
Hiredgun,660,0,0,0,0
,,,,,
Player,Score,Kills,Assists,Caps,Returns
Beldark,"5,165",21,17,0,6
Dean,"4,660",19,24,0,3
Didjital,"4,485",21,17,0,2
G W E J,"4,055",19,15,0,1
Bizow,"3,380",15,7,0,0
SulliedSoc,"2,020",9,4,0,0
Mansku,"1,775",3,6,1,0
Zao,"1,565",5,7,0,0
Fiftycal,860,0,5,0,0